claim_id,claim_text,split
38,The leaking of military documents by Anat Kamm was justified,train
875,Ten Commandments:  Display in Schools,train
755,Celebrities who commit drug-related offences should be punished more harshly than non-celebrities.,train
195,Intellectual property rights have to be abolished,train
41,Corporations’ Use of IP Laws in Relation to Event Sponsorship Poses a Threat to Freedom of Expression,train
547,Abolish collective bargaining rights for unions,train
68,Transparency is necessary for security,test
192,governments should choose open source software in order to encourage its use,dev
17,There should be a presumption in favour of publication for information held by public bodies,dev
803,There is a world Water crisis,train
483,Nollywood could be an effective instrument to change perceptions of Africa,test
663,Animals should be kept in zoos,test
930,Climate Change is the end of the world,train
597,Student loan debt should be easier to discharge in bankruptcy,test
741,PHILOSOPHY – Utilitarianism isn’t as fair as it initially seems,test
402,Europe should be federal,test
487,A permanent UNSC seat with veto power must be reserved to an African country,train
394,Place Cameras in Courtrooms to Televise Court Cases,train
814,People should be allowed to do what they want to their own bodies,train
298,A move to the left is good for Labour,train
626,1-child policy for every single country in the world!,train
957,Paparazzi and press intrude too much into celebrities lives,test
686,Parents should have the right to do background checks on those looking after their children,test
945,Privacy Online is Important,test
443,Grant the EU a permanent seat on the UN Security Council,train
241,University education should be free,train
504,Encourage fewer people to go to university,test
852,Governments should ban the media from reporting hostage-taking,test
714,Liberal democracies are better at providing people’s needs than non-democracies.,train
125,Boycott the Euro 2012 in Ukraine unless Yulia Timoshenko is released from prison,train
717,The US and its allies were justified in taking military action against Iraq following Iraq’s invasion of Kuwait,train
421,News organisations should be free to exclude news of homosexuality where it causes offence to their viewers,dev
635,Should Turkey Be Accepted In The EU,train
312,Governments should introduce a flat tax,train
285,We must enforce term limits on the legislative branch of government,test
738,The EU should significantly reduce the amount it spends on agricultural production subsidies,train
283,We can trust Republicans with the economy,train
659,Less time outdoors is severely detrimental to the physical and emotional wellbeing of children,dev
397,Abolish the security council veto,test
734,All our actions are determined in some way,test
698,A celebrity would make a good minister,test
506,Homework is a waste of time,train
383,Beauty contests should be banned,train
218,Government must be Big and Beefy,test
279,Terrorism can be justified,test
795,Junk Food Should Be Banned,train
411,The African Union should create a standing army,train
888,We should make new years resolutions,test
512,People should have a right to private education,test
410,Build the Grand Inga Dam,train
318,The right to trial can be limited by jury in some criminal cases,train
509,Fund education using a voucher scheme,dev
798,Using Rewards to Motivate Students,train
942,Children should do part time and summer work,dev
236,Abolish the Superdelegate System for Democratic Party Conventions,test
257,The republican party has lost its way,test
162,Wire-tapped and ‘intercepted’ evidence must be allowed as admissible in court,train
763,Most people are a little bit gay,train
95,Anti-Social Behaviour Orders (UK) must be scraped,train
879,Governments should spend their way out of the recession,train
188,We must grant those diagnosed with terminal illnesses the right to access treatments that have not completed clinical testing,train
19,permit the use of performance enhancing drugs in professional sports,test
129,Allow women to compete in the same leagues as men,train
387,The Guantanamo Bay detention centre should be closed,train
948,social networking sites should be banned at the workplaces,dev
740,Joe Calzaghe deserves to be recognized as one of the greatest boxers of all time,train
221,Handguns must be banned in Washington D.C.,test
531,The imprisoned members of Pussy Riot should be considered political prisoners,train
215,We should use torture to obtain information from suspected terrorists,train
196,The development of genetically modified organisms have to be banned,train
5,Rupert Murdoch is not a fit person to run an international media corporation,test
367,Government should be required to obtain warrants to access data that can be used to track an individual,train
29,Capitalism is better than socialism,train
229,It is worth voting,test
317,Civil liberties should be sacrificed for the greater good,test
607,Fighting should be allowed in hockey.,test
935,It is good to gossip,train
80,The Republika Srpska must be allowed to secede from Bosnia & Herzegovina,train
860,Creationism should be discussed in school science lessons,train
885,Post Office Should Be Privatized,train
212,All nations have a right to nuclear weapons,train
871,Boys should go to boys only schools,test
430,We believe in world government,train
426,The United Nations has failed,train
970,Adolf Hitler Does Not Deserve His Reputation as Evil,train
7,Animals have rights.,test
553,Subsidize poor communities,train
338,The best way to protect Scottish interests in the EU is to vote for independence,train
354,Disclose previous convictions in court,train
827,ID cards and the National Identity Register should be scrapped,train
219,Turkey should be let join the European Union,train
361,The ICC is biased against Africa,train
240,"The EU, USA and other western donors should not fund any Palestinian government in which terrorist organisations participate",train
541,Christians should be allowed to wear the Cross at work,train
193,The Internet must be censored,test
268,USA must sign the Ottawa Convention banning landmines,train
232,We support the New START Treaty,test
856,Basic income tax should be abolished,train
254,"The US intervention in Libya, lacking congressional approval, was illegal",train
500,Introduce year round schooling,dev
864,HIV/AIDS: There Should Be Compulsory Testing and Labeling of People with HIV,dev
756,Global Warming is not an issue,train
748,The use of mobile phones has lowered active social life and has become an addiction,train
356,Military action to intervene during atrocities without United Nations Security Council approval can be legal,train
884,Rain Man is such a bad image of autism,dev
380,The European Union should lift its ban on member states selling arms to China,train
405,The Palestinian Statehood should be recognised by the United Nations General Assembly,train
493,Store nuclear waste underground,dev
593,The United States should maintain its embargo against Cuba,train
850,Christianity is the greatest deception of today,test
89,The Reproductive Health Bill will undermine families and values,dev
868,Democracy Is the Best Form of Government,test
304,People should have the right to die,train
925,The EU should impose a special Europe-wide tax on meat consumption to help save the planet,train
43,Religious freedom abroad should be one of the primary foreign policy concerns for any country,train
614,The money we spend on our Olympic medal count is money well spent,train
132,Force think tanks to reveal all of their sources of funding,test
375,Fines should be made relative to income,test
630,University education needs to be capped and more selective,dev
807,The iPhone is better than the Blackberry,dev
823,The UN should impose sanctions on countries that destroy their rainforests,test
207,Poverty is the most important security issue facing Africa,train
540,Blasphemy has no place on the statute books,train
726,Discipline In Schools Needs To Be Improved,dev
441,The United States is a ‘benign’ hegemon,test
516,Build a third Heathrow runway to maintain its position as a hub airport,train
330,Eritrea is responsible for its isolation,test
447,The UN intervention in the Democratic Republic of Congo has been a success,train
634,The voting age should be lowered to 16,train
822,Reheat tea in the microwave,test
99,The sale of children’s toys as part of fast food meals must be prohobited.,train
947,Teachers should get merit pay,dev
138,During riots it might make sense to block access to social messaging networks,train
872,Parents should introduce children to alcohol (in moderation) at an early age,dev
67,The full financial history of all candidates for political office must be posted online,test
555,The American Jobs Act should pass,train
997,Pre-nuptial agreements should not be recognised in divorce courts,test
658,Hacking Can Be Justified,train
190,Downloading music without permission is morally equivalent to theft,test
562,Violent Video Games Contribute to Youth Violence,test
829,Governments Should Actively Promote Multiculturalism,train
609,The United States should keep daylight saving time.,dev
391,We should believe in corporal punishment for adult offenders,train
1003,Religions Should Not Qualify as Charities,train
847,Smoking should be banned in public places,test
651,We should abolish speed cameras,test
50,We must bring back corporal punishment,test
971,The US should immediately close Guantanamo Bay.,train
216,We should limit the right to bear arms,train
343,We must limit anonymous contributions from corporations and individuals to super PACs,dev
909,Scotland should cede from the union.,test
346,US must get rid of the double jeopardy rule,test
37,Music containing lyrics that glorify violent and criminal lifestyles should be banned,train
249,We must ban negative advertising in political campaigns,test
169,The niqab and other face coverings in schools must be banned,train
963,Humans should eat meat,test
689,The world should go vegan,train
908,Governments of resource-rich nations should impose high taxes on mining and extraction,train
310,We must all believe in fundamental human rights,train
980,The environment is being sacrificed for the economy,test
123,Restrictions must be imposed on overseas players in football,train
497,School uniforms must be banned,dev
151,Targeted online advertising on the basis of user profiles and demographics must be banned,test
657,Gorbachev Was Responsible for The Collapse Of The USSR,test
49,History has no place in the classroom,dev
515,Homework should be banned.,dev
70,Major league baseball should continue to allow collisions at home plate,test
934,The internet’s anonymity is beneficial,test
508,Provision of higher education must be funded by taxing graduates,dev
589,More gun control laws should be enacted,train
811,Individuals have a moral obligation to assist people in need,test
841,Violent video games cause violent crime,train
182,We have to produce high quality generic drugs for Africa,train
668,Historical Artefacts Should Be Repatriated to Their Country of Origin,train
933,History as a subject in school is needed,test
878,Newspapers Are a Thing of the Past,train
82,Developing nations should place restrictions on rural-urban migration,train
431,Jerusalem should be divided,test
225,Should the United States increase the foreign aid budget?,train
585,Social networking sites are good for our society,train
641,School Uniforms Should Be Mandatory,dev
345,We must have a criminal DNA database,train
62,Advertising is harmful,train
461,Alternative medicine poses a threat to public health,dev
524,Endangered species should be protected,train
563,Golf is a Sport,test
568,Gay marriage should be legal,train
544,Pay state school teachers based on merit,dev
988,Roger Federer Is Not the Greatest Tennis Player of All Time,test
647,We should be investing in public transport,train
116,Parents should be able to choose the sex of their children,dev
979,The UN should be reformed or replaced,train
496,Adaptation should be the most urgent response to Climate Change,dev
608,The United States should use the electoral college in presidential elections.,dev
746,Parents of obese children be prosecuted with neglect,train
757,Personality is more important than ability,train
747,Romeo and Juliet do promote knife crime,train
144,Targeted sanctions have to be used to respond to cyber-attacks,train
690,Capitalism is creating an expanding gap between the rich and the poor,train
691,Maths should be a compulsory subject at GCSE,dev
77,The people's republic of China should abandon the one-child policy,train
64, Aboriginal culture must be protected,test
325,Russia has the right to send troops into Crimea,train
786,Music That Glorifies Crime Should Be Banned,test
110,Marriage is an outdated institution,train
321,UK should have a second Brexit referendum before leaving the EU,train
571,Teachers should get tenure,train
250,We should encourage increased use of referendums,train
491,A nation's history and mythology is part of its national security,train
407,We should give cash to the poor to reduce poverty,train
1006,We Should Have a Quota for Women on Corporate Boards,train
833,Eliminate All Nuclear Weapons,train
437,The European Union should adopt a single working language through which to operate.,train
127,"Force the media to display, promote and report women’s sport equally to men’s sport.",train
929,We should be free to express our religion as we wish,train
1002,Dictatorship Is the Best Path to Development,train
985,Job applicants should have to disclose their spent criminal convictions,train
521,Wind power should be a primary focus of future energy supply.,train
810,Social Media should be part of the curriculum,train
753,We should show more compassion to drug addicts,dev
854,Physical Education In Schools Should Be Compulsory,dev
24,Gay couples should be allowed to marry,dev
882,Money undermines sport’s values,test
247,Abolish all collective bargaining rights claimed by trades unions,train
462,There must be a system of universal healthcare,dev
602,Bottled water should be banned,train
672,Books should have content warnings,train
536,Penalise religious hate speech,train
694,It is time to stop buying bottled water,dev
813,Britain should become a republic,train
789,Forced marriage should be banned,train
684,America should have universal healthcare,dev
477,Widen the East African Community,train
678,Terrorists should be subject to the Geneva Conventions,train
149,We have to cut the length of copyright protection,train
627,It is morally permissible for victims to use deadly force as a deliberate response to repeated domestic violence,train
458,Airbrushing of women’s bodies in the media be banned,dev
164,There must be a ban the sale of 3D printers to households,train
939,Cramming before exams is a bad idea,test
561,Compensation should be paid for those who have had their culture appropriated,test
140,State funding to universities have to be conditioned upon all academic work being made available to the general public,train
709,Everyone Should Automatically Be Opted into an Organ Donation Scheme,train
45,It makes sense to drive to an out of town to a shopping centre,train
72,Professional sportsmen must be required to represent their countries at the international level,train
115,Hate speech on campus has to censored,train
769,Healthy eating should be made mandatory,train
956,Gender Equality is Treating Men and Women in the Same Way,train
901,Catcher in the Rye is a bad book,train
643,Wikileaks is not and has never been a non-profit organization,test
357,Create an African Criminal Court,train
721,Only buildings that are historically important should be preserved,dev
679,Mixed Martial Arts (UFC) is a form of human cockfighting,test
522,Store nuclear waste underground,test
596,We should support universal basic income,train
287,Self-determination of peoples is a human right,train
492,The expenditure of money should be protected as speech,test
615,Google is the extremely reliable source of information,dev
539,We believe in the right to reply,train
1005,Drones Should Be Used to Take Out Enemy Combatants,test
209,Legal empowerment is provided for women through land titling,train
432,Offshoring is a good idea,test
197,Evolution has Disproved Creationism,test
722,Tuition Fees Should Be Increased,dev
486,African borders must be redefined to reflect ethnic groups,train
90,Human Cloning has to be banned,train
358,"Guinea-Bissau should not let itself be turned in to a front of the US’ ""war on drugs""",train
1,The use of child performers should be banned,train
362,The Uhuru Kenyatta indictment was an unwelcome interference by the ICC,test
117,It should be allowed to patent genes,train
801,Reality TV shows are an important part of popular culture today.,train
759,Football does unify us,dev
653,Mossad should carry out extrajudicial killings,test
572,Prescription drugs should be advertised directly to consumers,dev
743,National service should be re-introduced,test
652,16 year olds should be able to vote at presidental elections,train
102,You should never have children,test
65,Sexist advertising must be banned,train
27,Anarchism is a valuable political ideology,test
700,Voting should be compulsory in the UK,test
259,The United States’ individual health insurance mandate is unconstitutional,train
87,Women should be allowed to take part in combat,dev
637,Strict parenting works best,dev
676,Public high school students in the United States ought not be required to pass standardized exit exams to graduate,dev
385,The Schengen Agreement must be dissolved,test
39,Users of extremist websites should be punished,test
160,We have to teach creationism in schools,dev
302,It is sometimes right for the government to restrict freedom of speech,train
606,Refusing to stand for the National Anthem is an appropriate form of protest.,train
467,Alcohol should be banned.,test
861,Religion In Itself Is A Purely Positive Force In The World,train
267,The U.S. Should Ban The Use of Cluster Bombs,train
81,The feminist movement should seek a ban on pornography,train
485,Africans are worse off due to natural resources,train
897,Children should not be allowed to inherit vast wealth as this damages them and society,test
767,The People’s Republic of China should invade North Korea,test
857,The UK Should Leave the European Union,test
576,The federal minimum wage should be increased,train
545,Prioritize eliminating the budget deficit over increasing domestic spending,train
575,Obesity is a disease,dev
514,Make sex education mandatory in schools,dev
47,Performing tests on animals must be banned,dev
931,Aid Should Be Tied To Human Rights,train
649,Same sex relationships should have the same legal status as heterosexual relationships under EU law,train
168,Keep the Sabbath as a Day of Rest,test
208,Civil society should be granted a wider participation in Africa’s political life,test
739,Sikh school pupils should be allowed to carry ceremonial daggers,train
275,Israel's 2008-2009 military operations against Gaza were justified,train
359,Send Yanukovych to The Hague,test
58,Cultural property residing in museums must be returned to its place of origin,train
605,Hosting the Olympic Games is beneficial,train
419,Stop sending development aid to India,train
237,Quebec should secede from Canada,train
696,The civil procedure rules allow for a ‘fair trial’,train
725,The United States was correct in going to war against North Korea in support of their territory of South Korea.,train
4,It should be allowed to have military recruitment in schools,test
772,Corporations are a threat to Democracy and society.,dev
33,Smokers should be denied access to state healthcare,train
136,You should join Facebook,train
912,Deregulation and tax cuts should be embraced to lead the world out of economic crisis.,train
114,Parents should be allowed to genetically screen foetuses for heritable diseases,test
788,Taking food thrown out by supermarkets should not be illegal,train
86,Teachers should be armed,dev
258,Abolish the monarchy.,train
203,Cut aid to African states that criminalise homosexuality,train
450,Ghana’s ban on smoking in public places is a model for Africa,train
452,Deny Organs to Non-Donors,test
911,Patents on life-saving drugs should be bypassed,dev
960,Space Exploration Is a Waste of Money,dev
550,The UK would be better off economically outside the European Union,train
161,Domestic intelligence agencies have a legitimate role to play in democracy,test
625,Affirmative Action in South Africa does more harm than good,train
363,Prosecutions help the healing process,train
982,New prisons need to be built to ease overcrowding,train
611,Parents or other adults should be able to ban books from schools and libraries.,train
736,The grammar school system should be reintroduced in the UK,dev
782,Representative Democracy Is a Better Form of Government Than Direct Democracy,train
78,That Zero Tolerance Policing is a Good Tactic for Fighting Crime,train
488,Legalize sex work in order to make controls more feasible and effective to combat HIV/AIDS,train
917,Prisoners Should Be Used For Medical Experiments Without Consent,test
455,Labels on food must be mandated to encourage people to eat better,test
74,Force has to be used to protect human rights abroad,train
398,Long term cooperation between Russia and the United States is possible.,train
661,The breeding of white tigers in captivity should be banned,train
922,Macs are better than PCs,test
339,Turkey is not a democracy,test
804,Competition in the long run is healthy rather than harmful for the community: GRE issue,train
760,Adding artificial happy endings to a story completely ruins it,test
783,Hosting the world cup is beneficial,train
448,Men are the key to family planning in Uganda,test
821,German unification has been a success,train
93,Prostitution has to be legalised,train
177,Remove the requirement for Catholic Priests to take a vow of celibacy,test
699,Children should be banned from watching shows that contain violence and other adult contents,train
243,The UN should recognize a Palestinian state,train
390,The Tibet should be an independent state,train
14,Governments be allowed to disrupt Internet service on grounds of national security.,train
791,The media’s selective coverage of certain issues works to worsen problems in society and create problems,train
199,It is necessary to offer increased aid to developing world countries that encourage and accept large influxes of immigrants,test
574,All Americans should have the right (be entitled) to health care,train
201,Cyberbullies must be punished with prison even if under 18,train
535,Protect braille out of respect for free speech,train
335,We must negotiate with terrorists,train
542,University education should be free,dev
587,Recreational marijuana should be legal,train
650,The Spread of Nuclear Weapons: More may be better,train
433,It is a good idea to build the Keystone XL pipeline,train
154,Do not allow companies to collect/sell the personal data of their clients,test
523,Invest in Renewable Technologies rather than Nuclear Power,train
601,Homework is beneficial,test
920,"Financial Assistance for the Poor Should Be the Responsibility of Charities, Not Government",test
976,Corporal Punishment Should Be Reintroduced,train
46,Nuclear technology must be adopted,train
851,Resources have a negative influence on foreign policy in the Middle East,train
693,Aid is killing Africa,train
612,There Should be a Minimum Weight Limit For Professional Models,train
558,There must be a progressive tax rate,train
502,Degrees in the creative arts are luxuries society can no longer afford,dev
6,Smoking should further be restricted,train
142,"Universities should make all academic work they produce, including scholarly articles, course handbooks and recorded lectures, available to the general public",dev
148,We have to offer amnesty to bloggers currently prosecuted by their native states,train
309,Neo-functionalism explains the integration of the European Union,train
59,Wikipedia is a force for good,train
360,The ICC is not an effective deterrent,test
927,Homework should have a limit,dev
22,The music that glorifies violence against women should be banned,test
205,African cities need to invest more in housing to replace slums,test
9,There must be a child curfews,dev
680,Socialism is a failed government subdomain,train
819,Gender equality will not happen anytime soon,train
673,Mexican culture was incurably damaged by the introduction of Christianity,test
907,Barbie Dolls are affecting the mental image we create for ourselves,train
580,Adults should have the right to carry a concealed handgun,train
484,African governments must implement tougher protections for animals,train
551,Make the raising of business and labour standards a prerequisite for developmental aid,train
305,Allow donations of vital organs even at the expense of the donor's life,train
549,EU member states should guarantee people under 25 a temporary workplace when they have been unemployed for six months,train
582,"Churches should (defined as churches, temples, mosques, synagogues, etc.) remain tax-exempt",test
463,Ban the use of trans fats in food stuffs,dev
295,US must help in fighting terrorist organisations in Africa,train
147,politicians have no right to privacy,train
320,Leaving the EU would increase British security,train
436,Switzerland and Norway should apply to join the EU,train
834,Constitutions Should Not Give Special Recognition To Minority Groups,train
262,There must be compulsory identity cards,train
8,Proportional representation is necessary.,train
594,Human activity is primarily responsible for global climate change,train
853,Terrorism should not be allowed publicity,train
688,Any job is better than no job,train
865,India should give up Kashmir,train
599,The penny should stay in circulation,test
374,Media reporting on violent crimes should be restricted,dev
420,The world must arm the Syrian rebels,train
557,Act to regulate the activities of Sovereign Wealth Funds,train
291,We should detain terror suspects without trial,train
870,CCTV is a threat to freedom,test
476,Sao Tome would drop relations with Taiwan in favour of Mainland China,train
412,Ethiopia is right to build a dam on the River Nile,train
964,Workers in the Transport Sectors Should Be Banned From Going On Strike,test
344,Governments should lower the voting age to 16,train
705,Animals have a right to privacy,dev
369,"Criminal trials should not be televised, and the ICC is no exception",train
12,It is important to use foreign aid funds to research and distribute software that allows bloggers and journalists in non-democratic countries to evade censorship and conceal their online activities.,train
520,Build hydroelectric dams,train
256,The use of atomic bombs against Hiroshima and Nagasaki was justified,test
910,Euthanasia or mercy killing is justified,dev
776,We should give money to beggars,dev
26,Atheism is the only way,train
961,Oil Companies Should Not Be Allowed To Drill Offshore,test
511,Make lessons in a foreign language compulsory for school pupils,dev
323,African leaders should be transparent about their health,train
924,We should dramatically increase the rate of income tax paid by the rich,train
297,Lesotho should be annexed by South Africa,train
559,"Allow retailers to import for resale ""grey"" goods from abroad.",train
365,African states should withdraw from the ICC,train
859,Smoking should be made Illegal,train
730,Rail travel is the best mode of transport for the future,dev
200,The Gulf States should take in more Syrian refugees,train
891,Police Service Should Be Armed (UK),train
84,Governments should prioritise spending money on youth,train
271,Open primaries are the most effective method of selecting candidates for elections,test
399,NATO countries and the government of Afghanistan should negotiate a power-sharing deal with the Taliban,test
122,Gabon hosting the Africa Cup of Nations was a good thing,test
745,Religion is not necessary,dev
648,Power only has two dimensions,test
408,Take a visit the Yasukuni Shrine,test
838,Prostitution should be legalised to protect sex workers from HIV/AIDS,dev
921,Animal testing for medical research should be allowed.,dev
427,Former colonial powers should pay reparations to former colonies,train
56,We should force feed sufferers of Anorexia Nervosa,train
296,The Western intervention in Libya has been a success,train
862,Free press is vital in democracy,train
677,Prescription drugs are overpriced,train
816,We have lost the true meaning of Christmas,train
51,Hosting the Olympics is a good investment,train
53,Gambling must be banned,test
537,Allow celebrities to switch off the limelight,train
416,The EU should abandon the Common Agricultural Policy,train
220,Faith schools must be banned,test
638,Should the Cell Phones Be Allowed in Schools,dev
377,Social deprivation causes crime,train
624,The health benefits of genetically modified foods outweigh their risks,train
301,We must believe in the woman's right to choose,train
543,Prohibit retailers from selling certain items at a loss as a marketing device.,train
989,Home Schooling Should Be Banned,train
180,Traditional university has to be replaced by online learning,dev
171,Religious symbols in public buildings must be banned,test
131,Any work that is not released under a creative commons license shouldn't be funded,test
613,Commercialization of Festivals and Holidays Has Eroded Their Real Significance,train
766,People should be allowed to sell their own organs,train
682,Inheritance tax should be raised to 100% for everyone born in the UK,test
781,It is wrong to tolerate unjust laws,train
112,Feminism Is Still Needed,dev
423,The EU should engage in further enlargement,test
382,We should legalise the growing of coca leaf,train
525,Community radio is good for democracy,dev
48,Private universities in the UK must be encouraged,test
1001,Rich countries should actively recruit medical personnel from poorer countries,train
442,The United Nations budget must be frozen,train
388,Sadomasochism must be decriminalized,test
556,Create a National High Speed Rail System in the U.S.,train
794,Sports Have Became More About Making Money Than Playing Well,test
913,Anti-Bribery Laws On Corporations Should Be Abolished,train
623,Public Transport Should Be Free,train
817,Electronic tags are a good idea,dev
916,"Unemployment benefit should be paid in the form of vouchers for food, shelter and the basics of life",train
564,The United States should continue Its use of drone strikes abroad,train
969,An international ban should be placed on the export of nuclear reactor technology,test
534,The decision of the state of Bavaria to publish Mein Kampf,train
579,Animals should be used for scientific or commercial testing,dev
294,Have no elections rather than sham elections,test
395,The United Nations has a responsibility to protect.,train
758,World War III is inevitable,train
762,We should ban the muslim veil,train
351,Fund needle exchanges,train
754,Working from home is better for companies than maintaining an office,train
478,Spain should cede Ceuta and Melilla to Morocco,train
724,The EU should return power to national governments,train
951,Polls are accurate predictors of election results,test
532,Limit the free speech rights of corporations that are granted legal personhood,train
959,There Is a Mathematical Miracle in the Quran That Proves It Is the Word of God,test
235,We should directly elect city mayors,train
751,Parents should not allow young people to live at home again after graduating,train
876,Visitors to museums should be “encouraged” to pay a voluntary entrance fee,train
185,Every child should have a mobile phone.,train
665,International students are charged unfairly high tuition fees at UK universities,train
239,Recognise Kosovo as an independent state,train
34,Smoking in public spaces should be banned,dev
341,France is right to intervene in Mali,test
40,India’s Ban on the Satanic Verses is justified,train
972,Water Should Be Owned And Supplied By The State,test
179,(as a Christian Church) allow the ordination of gay and lesbian priests,train
263,The War in Iraq was Worth the Cost,train
376,Social disgust is legitimate grounds for restriction of artistic expression,train
622,Hillary Clinton would make a better president for America,test
223,Does campaign finance in the United States need to be fixed?,test
459,New York City has the right to regulate the size of sodas bought on the market,train
198,Google shouldn’t censor its search results in China,train
471,"African nations should ban the sale of skin whitening creams, and similar products",train
141,Online gambling has to be banned,test
