claim_id,claim_text,prompt
825,All countries should have the right to pursue a nuclear defence,"What do you think about the following claim? Claim: ""All countries should have the right to pursue a nuclear defence"" Respond with ONLY JSON and no other text - no preamble, no explanation outside the JSON. Give one JSON object per distinct stance you hold on this claim - just one if you see only one side, more if you genuinely see multiple sides. Output the objects directly, one after another - do NOT wrap them in an array. Each object must match exactly this schema: {""stance"": ""support"" or ""undermine"", ""summary"": ""2-3 sentences summarizing the answer in the person's own voice"", ""core_reasoning"": ""1-2 sentences explaining the reasoning behind the answer""} Always output at least one JSON object - never an empty response. Example with two stances: {""stance"": ""support"", ""summary"": ""School uniforms reduce visible inequality among students and simplify mornings for families."", ""core_reasoning"": ""When everyone dresses alike, pressure to display wealth through clothing drops.""} {""stance"": ""undermine"", ""summary"": ""Uniforms suppress student self-expression during formative years."", ""core_reasoning"": ""Clothing choice is a harmless outlet for identity that schools should not remove.""}
"
366,We should allow death penalty for the worst of the worst criminals,"What do you think about the following claim? Claim: ""We should allow death penalty for the worst of the worst criminals"" Respond with ONLY JSON and no other text - no preamble, no explanation outside the JSON. Give one JSON object per distinct stance you hold on this claim - just one if you see only one side, more if you genuinely see multiple sides. Output the objects directly, one after another - do NOT wrap them in an array. Each object must match exactly this schema: {""stance"": ""support"" or ""undermine"", ""summary"": ""2-3 sentences summarizing the answer in the person's own voice"", ""core_reasoning"": ""1-2 sentences explaining the reasoning behind the answer""} Always output at least one JSON object - never an empty response. Example with two stances: {""stance"": ""support"", ""summary"": ""School uniforms reduce visible inequality among students and simplify mornings for families."", ""core_reasoning"": ""When everyone dresses alike, pressure to display wealth through clothing drops.""} {""stance"": ""undermine"", ""summary"": ""Uniforms suppress student self-expression during formative years."", ""core_reasoning"": ""Clothing choice is a harmless outlet for identity that schools should not remove.""}
"
777,Sunbeds should be banned,"What do you think about the following claim? Claim: ""Sunbeds should be banned"" Respond with ONLY JSON and no other text - no preamble, no explanation outside the JSON. Give one JSON object per distinct stance you hold on this claim - just one if you see only one side, more if you genuinely see multiple sides. Output the objects directly, one after another - do NOT wrap them in an array. Each object must match exactly this schema: {""stance"": ""support"" or ""undermine"", ""summary"": ""2-3 sentences summarizing the answer in the person's own voice"", ""core_reasoning"": ""1-2 sentences explaining the reasoning behind the answer""} Always output at least one JSON object - never an empty response. Example with two stances: {""stance"": ""support"", ""summary"": ""School uniforms reduce visible inequality among students and simplify mornings for families."", ""core_reasoning"": ""When everyone dresses alike, pressure to display wealth through clothing drops.""} {""stance"": ""undermine"", ""summary"": ""Uniforms suppress student self-expression during formative years."", ""core_reasoning"": ""Clothing choice is a harmless outlet for identity that schools should not remove.""}
"
334,The prevalence of ‘African mercenaries’ is decreasing,"What do you think about the following claim? Claim: ""The prevalence of ‘African mercenaries’ is decreasing"" Respond with ONLY JSON and no other text - no preamble, no explanation outside the JSON. Give one JSON object per distinct stance you hold on this claim - just one if you see only one side, more if you genuinely see multiple sides. Output the objects directly, one after another - do NOT wrap them in an array. Each object must match exactly this schema: {""stance"": ""support"" or ""undermine"", ""summary"": ""2-3 sentences summarizing the answer in the person's own voice"", ""core_reasoning"": ""1-2 sentences explaining the reasoning behind the answer""} Always output at least one JSON object - never an empty response. Example with two stances: {""stance"": ""support"", ""summary"": ""School uniforms reduce visible inequality among students and simplify mornings for families."", ""core_reasoning"": ""When everyone dresses alike, pressure to display wealth through clothing drops.""} {""stance"": ""undermine"", ""summary"": ""Uniforms suppress student self-expression during formative years."", ""core_reasoning"": ""Clothing choice is a harmless outlet for identity that schools should not remove.""}
"
222,We must use Unmanned Aerial Vehicles to strike terrorist targets,"What do you think about the following claim? Claim: ""We must use Unmanned Aerial Vehicles to strike terrorist targets"" Respond with ONLY JSON and no other text - no preamble, no explanation outside the JSON. Give one JSON object per distinct stance you hold on this claim - just one if you see only one side, more if you genuinely see multiple sides. Output the objects directly, one after another - do NOT wrap them in an array. Each object must match exactly this schema: {""stance"": ""support"" or ""undermine"", ""summary"": ""2-3 sentences summarizing the answer in the person's own voice"", ""core_reasoning"": ""1-2 sentences explaining the reasoning behind the answer""} Always output at least one JSON object - never an empty response. Example with two stances: {""stance"": ""support"", ""summary"": ""School uniforms reduce visible inequality among students and simplify mornings for families."", ""core_reasoning"": ""When everyone dresses alike, pressure to display wealth through clothing drops.""} {""stance"": ""undermine"", ""summary"": ""Uniforms suppress student self-expression during formative years."", ""core_reasoning"": ""Clothing choice is a harmless outlet for identity that schools should not remove.""}
"
176,Make all museums free of charge,"What do you think about the following claim? Claim: ""Make all museums free of charge"" Respond with ONLY JSON and no other text - no preamble, no explanation outside the JSON. Give one JSON object per distinct stance you hold on this claim - just one if you see only one side, more if you genuinely see multiple sides. Output the objects directly, one after another - do NOT wrap them in an array. Each object must match exactly this schema: {""stance"": ""support"" or ""undermine"", ""summary"": ""2-3 sentences summarizing the answer in the person's own voice"", ""core_reasoning"": ""1-2 sentences explaining the reasoning behind the answer""} Always output at least one JSON object - never an empty response. Example with two stances: {""stance"": ""support"", ""summary"": ""School uniforms reduce visible inequality among students and simplify mornings for families."", ""core_reasoning"": ""When everyone dresses alike, pressure to display wealth through clothing drops.""} {""stance"": ""undermine"", ""summary"": ""Uniforms suppress student self-expression during formative years."", ""core_reasoning"": ""Clothing choice is a harmless outlet for identity that schools should not remove.""}
"
894,"Mind Sports Such as Chess, Quizzing and Debating Should Be Olympic Sports","What do you think about the following claim? Claim: ""Mind Sports Such as Chess, Quizzing and Debating Should Be Olympic Sports"" Respond with ONLY JSON and no other text - no preamble, no explanation outside the JSON. Give one JSON object per distinct stance you hold on this claim - just one if you see only one side, more if you genuinely see multiple sides. Output the objects directly, one after another - do NOT wrap them in an array. Each object must match exactly this schema: {""stance"": ""support"" or ""undermine"", ""summary"": ""2-3 sentences summarizing the answer in the person's own voice"", ""core_reasoning"": ""1-2 sentences explaining the reasoning behind the answer""} Always output at least one JSON object - never an empty response. Example with two stances: {""stance"": ""support"", ""summary"": ""School uniforms reduce visible inequality among students and simplify mornings for families."", ""core_reasoning"": ""When everyone dresses alike, pressure to display wealth through clothing drops.""} {""stance"": ""undermine"", ""summary"": ""Uniforms suppress student self-expression during formative years."", ""core_reasoning"": ""Clothing choice is a harmless outlet for identity that schools should not remove.""}
"
163,The right to anonymous posting on the internet should be protected by law,"What do you think about the following claim? Claim: ""The right to anonymous posting on the internet should be protected by law"" Respond with ONLY JSON and no other text - no preamble, no explanation outside the JSON. Give one JSON object per distinct stance you hold on this claim - just one if you see only one side, more if you genuinely see multiple sides. Output the objects directly, one after another - do NOT wrap them in an array. Each object must match exactly this schema: {""stance"": ""support"" or ""undermine"", ""summary"": ""2-3 sentences summarizing the answer in the person's own voice"", ""core_reasoning"": ""1-2 sentences explaining the reasoning behind the answer""} Always output at least one JSON object - never an empty response. Example with two stances: {""stance"": ""support"", ""summary"": ""School uniforms reduce visible inequality among students and simplify mornings for families."", ""core_reasoning"": ""When everyone dresses alike, pressure to display wealth through clothing drops.""} {""stance"": ""undermine"", ""summary"": ""Uniforms suppress student self-expression during formative years."", ""core_reasoning"": ""Clothing choice is a harmless outlet for identity that schools should not remove.""}
"
710,Sports initiations should be banned,"What do you think about the following claim? Claim: ""Sports initiations should be banned"" Respond with ONLY JSON and no other text - no preamble, no explanation outside the JSON. Give one JSON object per distinct stance you hold on this claim - just one if you see only one side, more if you genuinely see multiple sides. Output the objects directly, one after another - do NOT wrap them in an array. Each object must match exactly this schema: {""stance"": ""support"" or ""undermine"", ""summary"": ""2-3 sentences summarizing the answer in the person's own voice"", ""core_reasoning"": ""1-2 sentences explaining the reasoning behind the answer""} Always output at least one JSON object - never an empty response. Example with two stances: {""stance"": ""support"", ""summary"": ""School uniforms reduce visible inequality among students and simplify mornings for families."", ""core_reasoning"": ""When everyone dresses alike, pressure to display wealth through clothing drops.""} {""stance"": ""undermine"", ""summary"": ""Uniforms suppress student self-expression during formative years."", ""core_reasoning"": ""Clothing choice is a harmless outlet for identity that schools should not remove.""}
"
128,Chess must be at the Olympics,"What do you think about the following claim? Claim: ""Chess must be at the Olympics"" Respond with ONLY JSON and no other text - no preamble, no explanation outside the JSON. Give one JSON object per distinct stance you hold on this claim - just one if you see only one side, more if you genuinely see multiple sides. Output the objects directly, one after another - do NOT wrap them in an array. Each object must match exactly this schema: {""stance"": ""support"" or ""undermine"", ""summary"": ""2-3 sentences summarizing the answer in the person's own voice"", ""core_reasoning"": ""1-2 sentences explaining the reasoning behind the answer""} Always output at least one JSON object - never an empty response. Example with two stances: {""stance"": ""support"", ""summary"": ""School uniforms reduce visible inequality among students and simplify mornings for families."", ""core_reasoning"": ""When everyone dresses alike, pressure to display wealth through clothing drops.""} {""stance"": ""undermine"", ""summary"": ""Uniforms suppress student self-expression during formative years."", ""core_reasoning"": ""Clothing choice is a harmless outlet for identity that schools should not remove.""}
"
843,There should be no permanent members of the UN Security Council,"What do you think about the following claim? Claim: ""There should be no permanent members of the UN Security Council"" Respond with ONLY JSON and no other text - no preamble, no explanation outside the JSON. Give one JSON object per distinct stance you hold on this claim - just one if you see only one side, more if you genuinely see multiple sides. Output the objects directly, one after another - do NOT wrap them in an array. Each object must match exactly this schema: {""stance"": ""support"" or ""undermine"", ""summary"": ""2-3 sentences summarizing the answer in the person's own voice"", ""core_reasoning"": ""1-2 sentences explaining the reasoning behind the answer""} Always output at least one JSON object - never an empty response. Example with two stances: {""stance"": ""support"", ""summary"": ""School uniforms reduce visible inequality among students and simplify mornings for families."", ""core_reasoning"": ""When everyone dresses alike, pressure to display wealth through clothing drops.""} {""stance"": ""undermine"", ""summary"": ""Uniforms suppress student self-expression during formative years."", ""core_reasoning"": ""Clothing choice is a harmless outlet for identity that schools should not remove.""}
"
636,Persistent Bullies Should be Expelled,"What do you think about the following claim? Claim: ""Persistent Bullies Should be Expelled"" Respond with ONLY JSON and no other text - no preamble, no explanation outside the JSON. Give one JSON object per distinct stance you hold on this claim - just one if you see only one side, more if you genuinely see multiple sides. Output the objects directly, one after another - do NOT wrap them in an array. Each object must match exactly this schema: {""stance"": ""support"" or ""undermine"", ""summary"": ""2-3 sentences summarizing the answer in the person's own voice"", ""core_reasoning"": ""1-2 sentences explaining the reasoning behind the answer""} Always output at least one JSON object - never an empty response. Example with two stances: {""stance"": ""support"", ""summary"": ""School uniforms reduce visible inequality among students and simplify mornings for families."", ""core_reasoning"": ""When everyone dresses alike, pressure to display wealth through clothing drops.""} {""stance"": ""undermine"", ""summary"": ""Uniforms suppress student self-expression during formative years."", ""core_reasoning"": ""Clothing choice is a harmless outlet for identity that schools should not remove.""}
"
311,Everyone should go vegetarian,"What do you think about the following claim? Claim: ""Everyone should go vegetarian"" Respond with ONLY JSON and no other text - no preamble, no explanation outside the JSON. Give one JSON object per distinct stance you hold on this claim - just one if you see only one side, more if you genuinely see multiple sides. Output the objects directly, one after another - do NOT wrap them in an array. Each object must match exactly this schema: {""stance"": ""support"" or ""undermine"", ""summary"": ""2-3 sentences summarizing the answer in the person's own voice"", ""core_reasoning"": ""1-2 sentences explaining the reasoning behind the answer""} Always output at least one JSON object - never an empty response. Example with two stances: {""stance"": ""support"", ""summary"": ""School uniforms reduce visible inequality among students and simplify mornings for families."", ""core_reasoning"": ""When everyone dresses alike, pressure to display wealth through clothing drops.""} {""stance"": ""undermine"", ""summary"": ""Uniforms suppress student self-expression during formative years."", ""core_reasoning"": ""Clothing choice is a harmless outlet for identity that schools should not remove.""}
"
470,A ‘wall’ on the shared USA and Mexico border would be ineffective,"What do you think about the following claim? Claim: ""A ‘wall’ on the shared USA and Mexico border would be ineffective"" Respond with ONLY JSON and no other text - no preamble, no explanation outside the JSON. Give one JSON object per distinct stance you hold on this claim - just one if you see only one side, more if you genuinely see multiple sides. Output the objects directly, one after another - do NOT wrap them in an array. Each object must match exactly this schema: {""stance"": ""support"" or ""undermine"", ""summary"": ""2-3 sentences summarizing the answer in the person's own voice"", ""core_reasoning"": ""1-2 sentences explaining the reasoning behind the answer""} Always output at least one JSON object - never an empty response. Example with two stances: {""stance"": ""support"", ""summary"": ""School uniforms reduce visible inequality among students and simplify mornings for families."", ""core_reasoning"": ""When everyone dresses alike, pressure to display wealth through clothing drops.""} {""stance"": ""undermine"", ""summary"": ""Uniforms suppress student self-expression during formative years."", ""core_reasoning"": ""Clothing choice is a harmless outlet for identity that schools should not remove.""}
"
711,Britain should scrap the monarchy,"What do you think about the following claim? Claim: ""Britain should scrap the monarchy"" Respond with ONLY JSON and no other text - no preamble, no explanation outside the JSON. Give one JSON object per distinct stance you hold on this claim - just one if you see only one side, more if you genuinely see multiple sides. Output the objects directly, one after another - do NOT wrap them in an array. Each object must match exactly this schema: {""stance"": ""support"" or ""undermine"", ""summary"": ""2-3 sentences summarizing the answer in the person's own voice"", ""core_reasoning"": ""1-2 sentences explaining the reasoning behind the answer""} Always output at least one JSON object - never an empty response. Example with two stances: {""stance"": ""support"", ""summary"": ""School uniforms reduce visible inequality among students and simplify mornings for families."", ""core_reasoning"": ""When everyone dresses alike, pressure to display wealth through clothing drops.""} {""stance"": ""undermine"", ""summary"": ""Uniforms suppress student self-expression during formative years."", ""core_reasoning"": ""Clothing choice is a harmless outlet for identity that schools should not remove.""}
"
103,Housewives should be paid for their work,"What do you think about the following claim? Claim: ""Housewives should be paid for their work"" Respond with ONLY JSON and no other text - no preamble, no explanation outside the JSON. Give one JSON object per distinct stance you hold on this claim - just one if you see only one side, more if you genuinely see multiple sides. Output the objects directly, one after another - do NOT wrap them in an array. Each object must match exactly this schema: {""stance"": ""support"" or ""undermine"", ""summary"": ""2-3 sentences summarizing the answer in the person's own voice"", ""core_reasoning"": ""1-2 sentences explaining the reasoning behind the answer""} Always output at least one JSON object - never an empty response. Example with two stances: {""stance"": ""support"", ""summary"": ""School uniforms reduce visible inequality among students and simplify mornings for families."", ""core_reasoning"": ""When everyone dresses alike, pressure to display wealth through clothing drops.""} {""stance"": ""undermine"", ""summary"": ""Uniforms suppress student self-expression during formative years."", ""core_reasoning"": ""Clothing choice is a harmless outlet for identity that schools should not remove.""}
"
973,Individuals should be able to legally bypass copyright protection technologies for fair use reasons.,"What do you think about the following claim? Claim: ""Individuals should be able to legally bypass copyright protection technologies for fair use reasons."" Respond with ONLY JSON and no other text - no preamble, no explanation outside the JSON. Give one JSON object per distinct stance you hold on this claim - just one if you see only one side, more if you genuinely see multiple sides. Output the objects directly, one after another - do NOT wrap them in an array. Each object must match exactly this schema: {""stance"": ""support"" or ""undermine"", ""summary"": ""2-3 sentences summarizing the answer in the person's own voice"", ""core_reasoning"": ""1-2 sentences explaining the reasoning behind the answer""} Always output at least one JSON object - never an empty response. Example with two stances: {""stance"": ""support"", ""summary"": ""School uniforms reduce visible inequality among students and simplify mornings for families."", ""core_reasoning"": ""When everyone dresses alike, pressure to display wealth through clothing drops.""} {""stance"": ""undermine"", ""summary"": ""Uniforms suppress student self-expression during formative years."", ""core_reasoning"": ""Clothing choice is a harmless outlet for identity that schools should not remove.""}
"
314,Remove Bush tax cuts for the wealthy,"What do you think about the following claim? Claim: ""Remove Bush tax cuts for the wealthy"" Respond with ONLY JSON and no other text - no preamble, no explanation outside the JSON. Give one JSON object per distinct stance you hold on this claim - just one if you see only one side, more if you genuinely see multiple sides. Output the objects directly, one after another - do NOT wrap them in an array. Each object must match exactly this schema: {""stance"": ""support"" or ""undermine"", ""summary"": ""2-3 sentences summarizing the answer in the person's own voice"", ""core_reasoning"": ""1-2 sentences explaining the reasoning behind the answer""} Always output at least one JSON object - never an empty response. Example with two stances: {""stance"": ""support"", ""summary"": ""School uniforms reduce visible inequality among students and simplify mornings for families."", ""core_reasoning"": ""When everyone dresses alike, pressure to display wealth through clothing drops.""} {""stance"": ""undermine"", ""summary"": ""Uniforms suppress student self-expression during formative years."", ""core_reasoning"": ""Clothing choice is a harmless outlet for identity that schools should not remove.""}
"
526,‘The Spear’ should have remained on public display.,"What do you think about the following claim? Claim: ""‘The Spear’ should have remained on public display."" Respond with ONLY JSON and no other text - no preamble, no explanation outside the JSON. Give one JSON object per distinct stance you hold on this claim - just one if you see only one side, more if you genuinely see multiple sides. Output the objects directly, one after another - do NOT wrap them in an array. Each object must match exactly this schema: {""stance"": ""support"" or ""undermine"", ""summary"": ""2-3 sentences summarizing the answer in the person's own voice"", ""core_reasoning"": ""1-2 sentences explaining the reasoning behind the answer""} Always output at least one JSON object - never an empty response. Example with two stances: {""stance"": ""support"", ""summary"": ""School uniforms reduce visible inequality among students and simplify mornings for families."", ""core_reasoning"": ""When everyone dresses alike, pressure to display wealth through clothing drops.""} {""stance"": ""undermine"", ""summary"": ""Uniforms suppress student self-expression during formative years."", ""core_reasoning"": ""Clothing choice is a harmless outlet for identity that schools should not remove.""}
"
785,Neil Armstrong did actually walk on the Moon,"What do you think about the following claim? Claim: ""Neil Armstrong did actually walk on the Moon"" Respond with ONLY JSON and no other text - no preamble, no explanation outside the JSON. Give one JSON object per distinct stance you hold on this claim - just one if you see only one side, more if you genuinely see multiple sides. Output the objects directly, one after another - do NOT wrap them in an array. Each object must match exactly this schema: {""stance"": ""support"" or ""undermine"", ""summary"": ""2-3 sentences summarizing the answer in the person's own voice"", ""core_reasoning"": ""1-2 sentences explaining the reasoning behind the answer""} Always output at least one JSON object - never an empty response. Example with two stances: {""stance"": ""support"", ""summary"": ""School uniforms reduce visible inequality among students and simplify mornings for families."", ""core_reasoning"": ""When everyone dresses alike, pressure to display wealth through clothing drops.""} {""stance"": ""undermine"", ""summary"": ""Uniforms suppress student self-expression during formative years."", ""core_reasoning"": ""Clothing choice is a harmless outlet for identity that schools should not remove.""}
"
288,Federal States are better than unitary nations,"What do you think about the following claim? Claim: ""Federal States are better than unitary nations"" Respond with ONLY JSON and no other text - no preamble, no explanation outside the JSON. Give one JSON object per distinct stance you hold on this claim - just one if you see only one side, more if you genuinely see multiple sides. Output the objects directly, one after another - do NOT wrap them in an array. Each object must match exactly this schema: {""stance"": ""support"" or ""undermine"", ""summary"": ""2-3 sentences summarizing the answer in the person's own voice"", ""core_reasoning"": ""1-2 sentences explaining the reasoning behind the answer""} Always output at least one JSON object - never an empty response. Example with two stances: {""stance"": ""support"", ""summary"": ""School uniforms reduce visible inequality among students and simplify mornings for families."", ""core_reasoning"": ""When everyone dresses alike, pressure to display wealth through clothing drops.""} {""stance"": ""undermine"", ""summary"": ""Uniforms suppress student self-expression during formative years."", ""core_reasoning"": ""Clothing choice is a harmless outlet for identity that schools should not remove.""}
"
