claim_id,perspective_id,text,stance
825,1982,The United States has an obligation to protect international stability due to its unique military strength.,undermine
825,22725,The US must protect the international community.,undermine
825,22726,The US military is needed to ensure peace.,undermine
825,1987,"[Iran specific] Others, particularly Israel, would act if the United States did not",undermine
825,22731,"If the US does not act on Iran, Israel will",undermine
825,5265,Nuclear waste disposal is rarely safe/efficient; it is too much to expect a sqeaky clean disposal/disarmament of nuclear weapons  ,undermine
825,5264,"Disarmament is impossible, rendering efforts to disarm pointless and simply wasteful",support
825,5263,"The abolition of nuclear weapons would actually incentivize the development and use of even more dangerous weapons, such as chemical and biological weapons",support
825,5257,Proliferation of nuclear weapons increases the chances of nuclear accidents,undermine
825,5254,States will give terrorists nuclear weapons,undermine
825,5256,Irrational leaders make the possession of nuclear weapons dangerous,undermine
825,5258,It is immoral to use the threat of nuclear annihilation in order to achieve foreign policy aims,undermine
366,2727,Too many innocents killed,undermine
366,23344,Many innocents have been killed because of the death penalty.,undermine
366,23345,The death penalty has led to innocent people dying.,undermine
366,2724,Can be reserved for the worst of the worst,support
366,23342,The death penalty should be used for the worst cases.,support
366,23343,The death penalty is saved for the most horrible criminals.,support
366,2722,Necessary for punitive justice,support
366,23018,The death penalty should be used if someone commits first-degree murder.   They would receive the same treatment that they gave.,support
366,2220,The death penalty should apply as punishment for first-degree murder; an eye for an eye.,support
366,2725,Killers must die to satisfy society,support
366,5608, There are more efficient policies than death penalty,undermine
366,25893,Other policies are more efficient than using the death penalty.,undermine
366,25894,The death penalty is not an efficient policy.,undermine
366,5609,we are increasing the hate inside terrorist organizations and the dead person will be seen as a hero that animates their fight. ,undermine
366,25895,It is dangerous to impose the death penalty because the dead person would be seen as a hero to their terrorist organization.,undermine
366,25896,The death penalty for terrorists causes their organizations to hate more and to idolize their dead.,undermine
366,2221,Execution helps alleviate the overcrowding of prisons.,support
366,23019,We could make more room in the prison with execution punishment.,support
366,23020,The solution to the overcrowding in prisons is execution.,support
366,2225,The death penalty can produce irreversible miscarriages of justice.,undermine
366,23025,The death penalty is too absolute and too irreversible.,undermine
366,23026,The death penalty is not justice.,undermine
366,2223,The death penalty is a financial burden on the state.,undermine
366,23023,The expense of the death penalty financial hardship on the state.,undermine
366,23024,It's a financial loss to the state enforcing the death penalty.,undermine
366,23011,The penalty of death is a crime deterrent.,support
366,23012,Crime can be prevented by threatening the death penalty.,support
366,23013,The death penalty acts as a deterrent to crime,support
366,23014,"With the death penalty in place, crime is deterred",support
366,2218,The death penalty deters crime.,support
366,2219,Execution prevents the accused from committing further crimes.,support
366,2222,State-sanctioned killing is wrong.,undermine
366,23021,It's wrong to have the state enforce killing.,undermine
366,23022,The sanctioning of the State to kill is just immoral.,undermine
777,6348,"Unmanned salons are legal, yet deadly",support
777,26288,Unmanned salons are deadly,support
777,26289,Unmanned salons are very deadly,support
777,26290,"Unmanned salons, while legal, are also deadly",support
777,26291,"Unmanned salons may be legal, but they also may be deadly",support
334,2481,Decreased Conflict and the end of the mercenary age,support
334,23188,The end of the mercenary age is related to decreased conflict.,support
334,2485,Mercenaries are still hired by NGOs ,undermine
334,23192,NGOs still hire mercenaries.,undermine
334,23193,There is still a place for mercenaries working for NGOs.,undermine
334,2484,Mercenaries still have a presence in coups,undermine
334,23190,Mercenaries are still often involved in political coups.,undermine
334,23191,Mercenaries can still be found in coups.,undermine
334,2480,Legislation against mercenaries ,support
334,23186,Laws are being passed against mercenaries.,support
222,1653,Using drones blurs the distinction between war and peace.,undermine
176,1305,Museums preserve and display our heritage and therefore should be accessible to all of the public free of charge,support
176,22027,"Since museums essentially maintain our collective histories, there should be free access to all citizens.",support
176,22028,"Museums exist as an archive of our shared experiences and history, and as such, should grant access to all without charge. ",support
176,1311,State funding should be used elsewhere,undermine
176,22035,Funding for museums is wasteful,undermine
176,22036,We should not expect the state to fund museums,undermine
176,1306,Museums are a crucial source of inspiration and education,support
176,22029,Museums are a necessary part of a society's understanding of culture and edification.,support
176,22030,Museums are critical to the motivations as well as the education of a society as a whole. ,support
176,1308,Museum charges can be offset by government funding,support
176,1307,Free museums encourage attendance,support
176,22032,People are more likely to attend museums if they are free. ,support
176,1309,"If state-funded, there is little incentive to increase numbers of visitors",undermine
894,944,Chess lacks the necessary physical activity,undermine
894,7179,Olympic sports are suppose to be physical,undermine
894,7176,Mind sports are some of the world's oldest and most contested competitive sports.,support
894,26787,Mind sports have been around for centuries and are competitive.,support
894,26788,Mind sports is the oldest and most highly competitive sports.,support
894,940,Chess ought to qualify as an Olympic sport,support
894,21725,It would be appropriate for Chess to become an Olympic sport.,support
894,21726,"Chess is currently not an Olympic sport, but it should be.",support
894,21727,chess should be included in the list of Olympic sport,support
894,946,Opening up the Olympics for borderline sports is bad in itself,undermine
894,943,Chess is highly popular and should be represented,support
894,21729,Chess is popular worldwide and should be an Olympic sport.,support
894,21730,The popularity of Chess worldwide sets it up as an appropriate Olympic sport.,support
894,21732,Chess is one of the popular sport that should be represented at the Olympic.,support
894,941,Introducing chess would preserve the spirit of the ancient Olympic Games,support
894,945,Chess cannot ensure fair play,undermine
163,1207,Internet anonymity allows people to speak the truth without fearing harm to their careers,support
163,21953,Internet anonymity encourages honesty.,support
163,1206,Internet anonymity enables citizens to exercise their right to free speech,support
163,21951,Anonymity online allows for free speech.,support
163,1210,Internet anonymity leads to spam,undermine
163,21959,Span proliferates with anonymity on the internet.,undermine
163,1211,Internet anonymity increases cyberbullying and trolling,undermine
163,21961,Individuals are more likely to bully and troll when they are anonymous.,undermine
163,21962,Cyberbullying and trolling are more common when people's internet activity is anonymous.,undermine
163,1208,Internet anonymity allows people to experiment and construct with new social identities,support
163,21955,People are able to create new social identities when the internet is anonymous.,support
163,21956,The anonymity of the internet allows people to create new social identities for themselves.,support
163,1209,Internet anonymity allows internet users to engage in illegal activities ,undermine
163,21957,"When internet users are anonymous, they are more easily able to engage in illegal activities.",undermine
163,21958,There is less deterrance to illegal activities on the internet when people are able to remain anonymous.,undermine
710,5889,Encourages binge drinking and bullying,support
128,940,Chess ought to qualify as an Olympic sport,support
128,21725,It would be appropriate for Chess to become an Olympic sport.,support
128,21726,"Chess is currently not an Olympic sport, but it should be.",support
128,21727,chess should be included in the list of Olympic sport,support
128,946,Opening up the Olympics for borderline sports is bad in itself,undermine
128,944,Chess lacks the necessary physical activity,undermine
128,7179,Olympic sports are suppose to be physical,undermine
128,943,Chess is highly popular and should be represented,support
128,21729,Chess is popular worldwide and should be an Olympic sport.,support
128,21730,The popularity of Chess worldwide sets it up as an appropriate Olympic sport.,support
128,21732,Chess is one of the popular sport that should be represented at the Olympic.,support
128,941,Introducing chess would preserve the spirit of the ancient Olympic Games,support
128,945,Chess cannot ensure fair play,undermine
128,7176,Mind sports are some of the world's oldest and most contested competitive sports.,support
128,26787,Mind sports have been around for centuries and are competitive.,support
128,26788,Mind sports is the oldest and most highly competitive sports.,support
843,6833,It would make the UNSC more effective and efficient,support
843,6838,Argument 2: UNSC sanctions become powerless without PM,support
843,26579,Any decisions imposed by the previous Security Council risk being annulled when the new members rotate in.,support
843,26580,"UN sanctions would lose power, as they could be revoked by the new Security Council.",support
843,6835,"It will lead to fair regional representation, as well as make it more legitimate and flexible",support
843,26577,"With rotation in its membership, the UN Security Council would be a more fair and flexible in its representation.",support
843,26578,"By removing permanent membership, the Security Council would be viewed as more legitimate, as it can better represent all regions of the world.",support
843,6837,Argument 1: PM serves interests of developing countries,support
636,5287,"Bullies will not understand only if you talk to them, you need actions!",support
636,5284,Harmful to others around them,support
636,25682,Bullies create a harmful environment.,support
636,25683,Individuals do not feel safe in the hostile environments created by bullies.,support
636,5290,There are different levels/degrees of bullying,undermine
636,25684,One needs to look at the specific bullying behavior.,undermine
636,25685,Bullying behavior varies greatly and individual instances need to be taken into account.,undermine
636,5291,Expelling a child will make them worse.,undermine
311,2305,Vegetarianism is healthier ,support
311,2306,Being vegetarian reduces risks of food poisoning,support
311,4570,It is cruel and unethical to kill animals for food when vegetarian options are available. ,support
311,24955,"If there are meat-free options available, it is brutal and immoral to kill animals for food",support
311,24956,It is deplorable and unconscionable to take the life of an animal for food when one has a choice to eat vegetarian meals,support
311,2303,It is immoral to kill animals ,support
311,4609,"The right to eat what we want, including meat, is a fundamental liberty that we must defend. ",undermine
311,2307,Humans can choose their own nutrition plan ,undermine
311,25033,Individuals have a right to eat meat if they want to.,undermine
311,25034,People have a right to eat meat or anything else that they want to.,undermine
311,25036,We may accept that we have the right to eat meat,undermine
311,2304,Being vegetarian helps the environment  ,support
311,2308,There are problems with being vegetarian,undermine
311,4589,A vegetarian diet reduces overuse of antibiotics. ,support
311,24991,Anitbiotics aren't used in vegetarian foods.,support
311,24994,Vegetarian diets result in a reduction of antibiotic usage.,support
311,4599,Vegetarian diets are not necessarily better for the environment. ,undermine
311,25009,There is no evidence that vegetarian diets help the environment. ,undermine
311,25010,People who eat meat are not harming the environment. ,undermine
311,25011,Vegetarian diets aren't always more environmentally friendly,undermine
311,25012,Vegetarianism doesn't always help the environment,undermine
311,4571,Human anatomy has evolved to support a primarily vegetarian diet. ,support
311,24957,The human body has changed over time to be able to handle a largely vegetarian diet,support
311,24958,The internal organs of humans have changed over time to support a diet that is free of meat,support
311,4574,A vegetarian diet reduces the chances of developing kidney stones and gallstones. ,support
311,24964,Risk of kidney stones and gallstones can be reduced with a vegetarian diet.,support
311,4600,Vegetarians do not live longer. ,undermine
311,25013,People who eat meat live just as long as vegetarians.,undermine
311,25014,Vegetarians die at the same rate as meat eaters.,undermine
311,25015,Vegetarians have average lifespans,undermine
311,25016,Vegetarianism makes no difference in longevity,undermine
311,4581,Studies show that vegetarians are up to 40% less likely to develop cancer than meat eaters. ,support
311,24978, vegetarians are 40 % less likely to have cancer,support
311,4592,Eating meat has been an essential part of human evolution for 2.3 million years. ,undermine
311,5719,Our bodies were not designed for a vegan diet,undermine
311,25000,The evolution of humanity has progressed due to meat eating for 2.3 million years.,undermine
311,24999,It has been vital for humans to eat meat for over 2 million years.,undermine
311,4577,A vegetarian diet lowers the risk of heart disease. ,support
311,24969,A diet devoid of meat lowers the risk of heart disease.,support
311,24970,The risk of heart disease is reduced in people who adhere to a vegetarian diet.,support
311,4575,A vegetarian diet provides a more healthful form of iron than a meat-based diet. ,support
311,24965,Iron from a vegetarian diet is healthier than from a meat-based diet.,support
311,24966,A vegetarian diet is a healthier way to get iron than from a meat-based diet.,support
311,4573,A vegetarian diet can help alleviate world hunger. ,support
311,24961,World hunger can be reduced with a vegetarian diet.,support
311,24962,Eating a vegetarian diet can lead to less hunger around the world.,support
311,4594,"Eating meat provides healthy saturated fats, which enhance the function of the immune and nervous systems. ",undermine
311,25003,Saturated fats in meat help the immune and nervous system.,undermine
311,4606,"Lean red meat, eaten in moderation, can be a healthful part of a balanced diet. ",undermine
311,25025,Red meat can be unhealthy if eaten in large quantities and too often but is healthy in moderation. ,undermine
311,25026,A balanced and healthy diet consists of vegetables and lean red meat. ,undermine
311,25027,Lean red meat can be healthy,undermine
311,25028,Lean red meat is not necessarily unhealthy,undermine
311,4611,Vegetarian diets can cause the death of animals too. ,undermine
311,25041,Animals can also die as a result of vegetarian diets.,undermine
311,25042,Animals will still die even if everyone were to follow a vegetarian diet.,undermine
311,25043,Vegetarian diets can cause the death of animals too,undermine
311,4578,Eating meat increases the risk of getting type 2 diabetes. ,support
311,24971,Eating More Meat is Linked to Higher Risk of Type 2,support
311,4602,Processed vegetarian protein options such as tofu can cause more greenhouse gas pollution than farming meat. ,undermine
311,25017,Farming meat can produce less pollution than companies that process vegetarian proteins like tofu.,undermine
311,25019,Some vegetarian options cause more greenhouse gas emissions than meat production,undermine
311,25020,Processed vegetarian protein is less environmentally friendly than eating meat,undermine
311,4610,It is not necessary to become vegetarian to lower our environmental footprint. ,undermine
311,25037,There are ways other than giving up meat to help the environment.,undermine
311,25038,People do not have to stop eating meat to improve environmental conditions.,undermine
311,4583,A vegetarian diet conserves water. ,support
311,24981,People can conserve water by becoming a vegetarian.,support
311,24982,Becoming a vegetarian is healthy for the environment because people conserve more water.,support
311,4603,Becoming vegetarian will not help alleviate world hunger. ,undermine
311,25021,World hunger can not be fixed by vegetarianism. ,undermine
311,25022,There must be access to meats in order to alleviate world hunger. ,undermine
311,25023,Vegetarian diets won't help world hunger,undermine
311,25024,Vegetarianism doesn't reduce world hunger,undermine
311,4586,Raising animals for food contributes to air and water pollution. ,support
311,4579,Vegetarians live longer. ,support
311,24973,It has been proven that Vegetarians Live Longer,support
311,4596,Eating meat provides a better source of iron than a vegetarian diet. ,undermine
311,25007,Iron from meat is often cited as better than vegetables.,undermine
311,25008,I think iron from meat eating is healthier than the vegetarian way.,undermine
311,4585,Producing one hamburger destroys 55 square feet of rainforest. ,support
311,24988,Rainforests are destroyed to support animals used for food.,support
311,4608,There is nothing inherently cruel about raising animals for food. ,undermine
311,24995,Eating meat is part of the cycle of life.,undermine
311,25029,Raising animals for food is not cruel.,undermine
311,25030,It is not cruel or wrong to raise animals to be eaten.,undermine
311,25031,There is nothing inherently cruel about raising animals for food,undermine
311,4591,Eating meat is not cruel or unethical; it is a natural part of the cycle of life. ,undermine
311,4595,"Meat is the best source of vitamin B12, a vitamin necessary to nervous and digestive system health. ",undermine
311,25005,It was proven the b12 from meat is helps the nervous and digestive system.,undermine
311,25006,"For optimum nervous and digestive health, b12 from meat is ideal.",undermine
311,4584,A vegetarian diet leads to lower greenhouse gas emissions. ,support
311,24985,"If people became vegetarian, greenhouse gases would reduce. ",support
311,24986,A vegetarian diet is better for the planet because it reduces greenhouse gases.,support
311,4572,A vegetarian diet delivers complete nutrition and can provide health benefits. ,support
311,24959,"In addition to health benefits, a vegetarian diet also gives you everything your body needs.",support
311,24960,Complete nutrition and health benefits can be had with a vegetarian diet.,support
311,4580,A vegetarian diet promotes a healthy weight. ,support
311,24975,Healthy weight can be achieved with a vegetarian diet,support
311,24976,A vegetarian diet contributes to a healthy weight,support
311,4576,A vegetarian diet helps build healthy bones because vegetarians absorb more calcium than meat eaters. ,support
311,24967,Vegetarian diets allow more calcium to be absorbed than from meat and leads to healthy bones.,support
311,4593,Meat is the most convenient protein source available. ,undermine
311,25001,Meat is the most readily available protein.,undermine
311,25002,Most find that meat is a very convenient source of protein.,undermine
311,5716, It will facilitate world food distribution,support
311,5720,"Meat consumption should be reduced, but does NOT need to be eradicated",support
311,5721,A Vegan diet would not be practical in most parts of the world,undermine
470,3499,At the very least it slows people down,undermine
711,5894,The Monarchy is backward and prejudiced,support
711,26048,The Monarchy system is biased and inefficient.,support
711,26049,Regressive and biased is how the Monarchy system is.,support
711,5898,The Monarchy contrasts the meaning of Democracy,support
711,5896,It is costing the tax payers money which could be better spent,support
711,26052,Tax payers money could be spent more appropriately.,support
711,26053,The tax payers are the ones losing out on money that could be spent properly.,support
711,26054,tax payers money is valuable,support
711,26055,tax payers money should be useful only to the public,support
711,5899,Monarchy is a child's creation,support
711,26056,Monarchy is just childish.,support
711,26057,Monarchy is an infantile idea.,support
711,26058,it is high time to scrap monarchy,support
711,26059,monarchy in britain led to lots of chaos in the past,support
711,6538,Most other countries in Europe have abandoned the monarch,support
711,1902,The head of state should be a position that is separate and distinct from politics,undermine
711,22646,Politics should not include the head of the state as in a monarchy.,undermine
711,22647,There should be a separation from the head of state and politics.,undermine
711,1900,There is no divine right to leadership or privilege,support
711,22643,Leadership and privilege are not divine rights.,support
103,767,Paying housewives for their work is an important form of economic empowerment.,support
103,21588,Being paid as a housewife is economically empowering,support
103,21589,Paid housewives have a better economic power,support
103,768,Payment and obligation works differently in public and in private.,undermine
103,21590,Payments would be more difficult to quantify in private transactions,undermine
103,21591,It would be too inconvenient to make payments to housewives,undermine
103,770,Paying housewives is financially impractical.,undermine
103,21594,Paying housewives would be inconvenient,undermine
103,21595,Paying housewives would be difficult to achieve in the real world,undermine
103,765,Housewives are entitled to pay,support
103,21585,Women who are housewives should be paid,support
103,769,Paying housewives reduces social mobility,undermine
103,21592,"Housewives would lack incentives to find better paying, more fulfilling work",undermine
103,21593,Paying housewives would give them less incentives to find better conditions,undermine
103,766,Paying housewives promotes more positive images of women and family life,support
103,21586,"When a housewife is paid, they have a better stand in society",support
103,21587,Being paid as a housewife promotes more positive images,support
973,7798,Fair use can be misused,undermine
973,27072,Fair use is prone to abuse.,undermine
973,27073,Fair use isn't failsafe and can be used in direct contention against the original intent of the law.,undermine
973,7795,Establishes a Clear Brightline in Favor of Data Freedom,support
973,27070,Creates an easy to understand outline in support of Data Freedom.,support
973,27071,Provides the foundation which supports a rational set of ideas which foster an ideal in favor of Data Freedom.,support
314,2326,Expiring Tax Cuts Would Cause a Double Dip Recession,undermine
314,23079,double dip recessions are caused by expiring tax cuts,undermine
314,23080,to avoid a double dip recession do not let tax cuts expire,undermine
314,2323,Removing Tax Cuts Would Reduce the Deficit,support
314,23077,you can reduce the deficit by removing tax cuts,support
526,3889,Public Decency,undermine
785,6389,the USA had every incentive to lie,undermine
785,6390,There are problems with the pictures,undermine
785,26307,there are issues with the pictures,undermine
785,26308,The pictures have issues,undermine
288,2129,Federal states are better able to protect their citizens.,support
288,22879,Citizens are better protected in federal states.,support
288,2135,Federal States often have persistent losers.,undermine
288,22885,Losers abound in federal states.,undermine
288,2131,Being a federal state helps large states deal with divergent economic performance,support
288,22882,Federal United States are better off economically.,support
288,2134,"Federal governments often extend their powers and usurp local authority, especially if one or more federal units are disproportionately powerful.",undermine
288,2128,Federal states are economically stronger,support
35,274,Cannabis is a gateway drug,undermine
35,21111,using cannabis leads to other drugs,undermine
35,21112,being involved with people who use cannabis exposes you to other drug use,undermine
35,275,Uncertainty over the effects of cannabis means it is best to be prudent,undermine
35,21113,before there is enough known about cannabis use it is wise to be careful,undermine
35,270,People should be allowed to do whatever they want to their own bodies,support
35,277,Cannabis is harmful,undermine
35,21115,cannabis makes you lazy,undermine
35,21116,smoking cannabis keeps you from focusing,undermine
35,273,Cannabis opens the mind in a positive and beneficial manner,support
35,21109,using cannabis has more benefits than not using,support
35,21110,there are no negative side effects to the use of cannabis,support
35,272,"If cannabis was legalized, it could be regulated",support
35,21107,If legalized it can be monitored and taxed.,support
35,21108,Legal weed is subject to laws and is safer.,support
35,271,"Alcohol and tobacco are more harmful drugs, yet remain legal.",support
35,21105,Other addictive substances are legal.,support
35,21106,Banning weed will lead to other bans.,support
771,6309,Higher taxes encourage tax avoidance,undermine
771,26262,One problematic outcome is that higher taxes trigger tax avoidance.,undermine
771,26263,"The higher the taxes, the more often people will strive to dodge them. ",undermine
771,6289,"2.  No - it discourages incentive, increases dependence upon the government, and, if carried too far, impoverishes and oppresses people. ",undermine
771,6288,Pays for common programs,support
771,26900,With an increased standard of living for all the reason for crime would almost disappear.,support
771,26901,People who enjoy a standard of living that allows them to be healthy and productive will decrease drug abuse.,support
771,26902,Balancing governmental problems for society,support
771,26903,balancing common deficits of the government for society ,support
771,7455,Balancing governmental deficits for common good of society,support
771,7454,Redistributing wealth to balance the inequality of income disparity,support
771,26896,It is immoral that some have nothing and a few others are enormously wealthy.,support
771,26897,"Everyone should have the resources to live a healthy, productive life.",support
771,26898,Changing the wealth around to help income disparity ,support
701,5822,It currently promotes loyalty to the institution not the laity,support
701,26010,"Currently the Catholic Chuch focuses on loyalty to the church itself, not those they serve.",support
701,26011,"The Catholic Church wants loyalty to institution, not to the common man.",support
701,5823,Catholicism has become too corporate,support
701,5825,"Clerical rape of children is, in part, due to the celibacy of priests and must change",support
701,26012,"If priests were not forced to be celibate, the issue of child rate would not be as widespread.",support
701,26013,One of the reasons clerical child rape has happened is due to priests being forced to remain celibate.,support
701,5820,Too much responsibility on the Pope,support
628,5207,Energy demands are increasing,support
628,25633,More nuclear plants are needed to deal with energy deficit concerns ,support
628,5210,Nuclear energy use makes very little difference to CO2 emissions,support
628,25634,Nuclear energy has no impact on carbon emissions ,support
628,25635,Nuclear energy will not change carbon emissions in the atmosphere ,support
91,680,The Palestinian refugee crisis was created and is perpetuated by the Arab states and the Palestinians themselves,undermine
91,677,Palestinians have a right to return under international law,support
91,21524,The right to return is granted to Palestinians under international law.,support
91,21525,International law enables Palestinians to have the right to return.,support
91,681,No real 'right of return' exists in international law,undermine
91,21528,There really is no international law allowing for the right of return .,undermine
91,21529,The international law of right of return is not a true law.,undermine
91,679,A Palestinian right of return would destroy the 'Jewish State' in Israel,undermine
91,21526,"The ""Jewish State"" in Israel would be destroyed if Palestinians were granted the right of return.",undermine
91,21527,"In Israel, the ""Jewish State"" would be destroyed if there is a Palestinian right of return.",undermine
435,3242,The rebate should go in exchange for CAP reform,support
435,23691,CAP revision should be a priority trade-off for Britain's EU rebate,support
435,3246,The Rebate makes membership acceptable to the British people,undermine
435,23693,The Rebate is essential to preserve domestic support in Great Britain.,undermine
406,3026,The AU can bring peace to the continent,support
406,23531,African Union is promoting peace in the African continent. ,support
406,23532,"Through the AU, there can be peace brought to the continent",support
406,23533,One way to bring together the continent of Africa is though the AU,support
406,3030,African international organisations do not have a history of effectiveness,undermine
406,3028,Integration will fix the problem of borders,support
406,23534,Integration will mitigate the tension on border issues. ,support
